Distance from Center (cmd=annotatePeaks.pl P300_ER_Cluster3_peaks.bed hg38 -d P300_TagDir -hist 50 -size 5000)	P300_TagDir Coverage	P300_TagDir + Tags	P300_TagDir - Tags
350	2.75359401955147	0.00857297297297297	0.0112108108108108
400	2.56066705002876	0.00741891891891891	0.00708918918918919
450	2.25373778033353	0.00725405405405405	0.00857297297297297
500	2.13096607245544	0.00725405405405405	0.00774864864864864
550	1.99065554916619	0.00577027027027027	0.00494594594594594
600	2.04327199539966	0.00675945945945946	0.00741891891891891
650	1.85034502587694	0.0056054054054054	0.00692432432432432
700	1.78018976423232	0.00626486486486486	0.00642972972972973
750	1.7889591719379	0.00626486486486486	0.00511081081081081
800	2.00819436457735	0.00824324324324324	0.00478108108108108
850	2.16604370327775	0.00675945945945946	0.00708918918918919
900	2.12219666474986	0.00659459459459459	0.00675945945945946
950	1.92926969522715	0.00725405405405405	0.00675945945945946
1000	2.07834962622197	0.00824324324324324	0.0061
1050	2.35020126509489	0.00956216216216216	0.00395675675675676
1100	3.16575618171363	0.0148378378378378	0.00873783783783783
1150	3.38499137435308	0.0108810810810811	0.0089027027027027
1200	3.1394479585969	0.00659459459459459	0.0115405405405405
1250	2.65713053479011	0.00956216216216216	0.00923243243243243
1300	2.72728579643473	0.00923243243243243	0.00923243243243243
1350	2.97282921219092	0.0100567567567568	0.00758378378378378
1400	3.17452558941921	0.0105513513513513	0.0108810810810811
1450	2.98159861989649	0.0103864864864865	0.0115405405405405
1500	2.58697527314549	0.00708918918918919	0.00873783783783783
1550	2.39404830362277	0.00807837837837837	0.00725405405405405
1600	2.20112133410006	0.00758378378378378	0.00659459459459459
1650	2.09588844163312	0.00577027027027027	0.00741891891891891
1700	1.87665324899368	0.00659459459459459	0.00659459459459459
1750	1.69249568717654	0.00395675675675676	0.00544054054054054
1800	1.47326049453709	0.00395675675675676	0.00511081081081081
1850	1.22771707878091	0.00263783783783784	0.0061
1900	1.05232892466935	0.0032972972972973	0.00379189189189189
1950	0.947096032202417	0.0028027027027027	0.00313243243243243
2000	0.990943070730307	0.00263783783783784	0.00362702702702703
2050	1.09617596319724	0.00544054054054054	0.0032972972972973
2100	1.24525589419207	0.00412162162162162	0.00346216216216216
2150	1.4294134560092	0.00511081081081081	0.00395675675675676
2200	1.57849338700403	0.00708918918918919	0.00428648648648648
2250	1.89419206440483	0.00758378378378378	0.00544054054054054
2300	2.40281771132835	0.00972702702702702	0.00445135135135135
2350	2.71851638872916	0.00824324324324324	0.0084081081081081
2400	2.64836112708453	0.00692432432432432	0.0102216216216216
2450	2.26250718803911	0.00511081081081081	0.00857297297297297
2500	1.82403680276021	0.00346216216216216	0.00807837837837837
