Distance from Center (cmd=annotatePeaks.pl E2_ER_overlaps.bed hg38 -d Vehicle_TagDir E2_TagDir -hist 50 -size 5000)	Vehicle_TagDir Coverage	Vehicle_TagDir + Tags	Vehicle_TagDir - Tags	E2_TagDir Coverage	E2_TagDir + Tags	E2_TagDir - Tags
-250	4.2075750122971	0.00697383177570093	0.011226168224299	9.74795111430628	0.0192280373831776	0.0230130841121496
-200	4.30349237579931	0.015818691588785	0.00493271028037383	9.5965492451474	0.0246785046728972	0.0139289719626168
-150	6.73339891785538	0.0336785046728972	0.011396261682243	14.930553558591	0.0767607476635515	0.0242242990654206
-100	11.4589276930644	0.0149682242990654	0.0336785046728972	26.9902947519772	0.0595009345794393	0.0767607476635514
-50	15.775209050664	0.122297196261682	0.0137775700934579	37.169158878505	0.253143925233642	0.0345196261682244
0	17.9301524840137	0.0831757009345797	0.119745794392523	42.9457225017976	0.193188785046727	0.272069158878502
50	14.7840629611411	0.0224523364485981	0.0860672897196264	35.8822429906545	0.0513252336448599	0.198487850467287
100	11.1008362026562	0.0241532710280374	0.0183700934579439	26.8156002875631	0.0738841121495328	0.0707046728971964
150	6.68224299065421	0.0244934579439252	0.0280654205607476	17.1841121495328	0.0605607476635515	0.0667682242990655
200	4.15641908509592	0.00646355140186916	0.0233028037383177	11.5414809489576	0.0213476635514019	0.06616261682243
250	3.9262174126906	0.0122467289719626	0.00765420560747663	10.3127965492452	0.0375476635514019	0.0169570093457944
300	2.85194294146581	0.00901495327102803	0.0134373831775701	7.45363048166791	0.0202878504672898	0.0334598130841122
350	3.17166748647319	0.00918504672897195	0.00782429906542056	8.27469446441414	0.028766355140187	0.0214990654205608
400	3.86866699458927	0.00935514018691587	0.0124168224299065	9.50920201294038	0.024981308411215	0.0260411214953271
450	4.48893261190359	0.0248336448598131	0.00986542056074766	11.2736161035227	0.0557158878504673	0.0260411214953271
500	4.9877029021151	0.0289158878504673	0.0236429906542056	12.8924514737599	0.0806971962616823	0.0528392523364486
550	4.27151992129857	0.00408224299065421	0.0328280373831775	11.558950395399	0.013777570093458	0.0772149532710281
600	2.87112641416625	0.00578317757009346	0.00680373831775701	7.94277498202736	0.0125663551401869	0.0245271028037383
650	2.66010821446138	0.00357196261682243	0.00476261682242991	6.88296189791521	0.0113551401869159	0.0160485981308411
700	2.67929168716182	0.0212616822429906	0.00646355140186916	6.27735442127969	0.0463289719626169	0.0184710280373832
750	2.93507132316773	0.0122467289719626	0.0183700934579439	6.76067577282534	0.0284635514018692	0.0408785046728972
800	2.67929168716182	0.00476261682242991	0.0102056074766355	6.55686556434224	0.014988785046729	0.0192280373831776
850	2.45548450565666	0.00833457943925233	0.00527289719626168	6.27735442127969	0.0230130841121496	0.0118093457943925
900	1.87358583374323	0.0103757009345794	0.0081644859813084	5.48540618260248	0.0322485981308411	0.0222560747663552
