Distance from Center (cmd=annotatePeaks.pl Cluster4_DRIP_peaks.bed hg38 -d Vehicle_TagDir E2_TagDir -hist 50 -size 5000)	Vehicle_TagDir Coverage	Vehicle_TagDir + Tags	Vehicle_TagDir - Tags	E2_TagDir Coverage	E2_TagDir + Tags	E2_TagDir - Tags
850	1.00921052631579	0.005915	0.002275	3.4425	0.01053	0.01539
900	1.41973684210526	0.00819	0.005915	3.4425	0.01215	0.013365
950	1.35131578947368	0.005005	0.00091	3.11538461538461	0.008505	0.011745
1000	1.38552631578947	0.00273	0.00455	3.62942307692308	0.024705	0.014985
1050	1.21447368421053	0.002275	0.009555	3.50480769230769	0.010125	0.00891
1100	0.68421052631579	0.00273	0.001365	3.59826923076923	0.007695	0.00972
1150	0.65	0.00273	0.001365	3.90980769230769	0.00972	0.01377
1200	0.872368421052632	0.005005	0.003185	2.95961538461538	0.00648	0.01296
1250	0.872368421052632	0.004095	0.00273	3.0375	0.01296	0.01701
1300	0.735526315789474	0.00091	0.000455	3.47365384615384	0.01377	0.013365
1350	0.940789473684211	0.005915	0.00546	3.48923076923077	0.012555	0.00972
1400	0.803947368421053	0.00091	0.00091	3.58269230769231	0.013365	0.01053
1450	0.821052631578948	0.002275	0.002275	3.56711538461538	0.01053	0.020655
1500	0.872368421052632	0.00091	0.00364	3.27115384615384	0.010125	0.012555
1550	0.564473684210527	0.000455	0.00455	2.66365384615384	0.006885	0.009315
1600	0.461842105263158	0.00091	0.002275	2.35211538461538	0.00567	0.011745
1650	0.701315789473685	0.004095	0.00273	2.61692307692307	0.01134	0.010935
1700	0.718421052631579	0.002275	0.00273	2.44557692307692	0.007695	0.0081
1750	0.855263157894737	0.003185	0.00091	2.49230769230769	0.00567	0.006885
1800	0.889473684210527	0.004095	0.00637	2.32096153846154	0.00648	0.01377
1850	0.564473684210527	0	0.00182	2.05615384615384	0.009315	0.010125
1900	0.65	0.00364	0.00364	1.91596153846154	0.00486	0.009315
1950	0.444736842105264	0.00182	0.001365	1.83807692307692	0.00648	0.00486
2000	0.427631578947369	0.001365	0.001365	1.83807692307692	0.01053	0.006885
2050	0.530263157894737	0.003185	0.001365	2.13403846153846	0.00648	0.006885
2100	0.615789473684211	0.004095	0.00091	2.11846153846154	0.005265	0.00567
2150	0.701315789473685	0.003185	0.002275	1.88480769230769	0.005265	0.01134
2200	0.718421052631579	0.00182	0.00091	1.69788461538461	0.00891	0.008505
2250	0.65	0.002275	0.00273	1.5576923076923	0.006075	0.005265
2300	0.478947368421053	0.00091	0.00273	1.72903846153846	0.006885	0.00405
2350	0.530263157894737	0.00455	0.001365	1.94711538461538	0.011745	0.006075
2400	0.598684210526316	0.001365	0.001365	2.025	0.006885	0.006075
2450	0.769736842105263	0.00273	0.00091	2.21192307692307	0.01053	0.00567
2500	0.803947368421053	0.00091	0.00455	2.14961538461538	0.007695	0.008505
